epoch,total_loss,reg_loss,cls_loss
1,72.72569274902344,70.70701599121094,2.0186777114868164
2,48.73622131347656,46.9671745300293,1.769045114517212
3,29.035978317260742,27.21778678894043,1.8181922435760498
4,14.199991226196289,12.166285514831543,2.0337061882019043
5,5.080144882202148,2.939769983291626,2.1403746604919434
6,3.93790864944458,1.8790714740753174,2.0588371753692627
7,9.607810974121094,7.771083354949951,1.8367273807525635
8,12.85641860961914,11.174552917480469,1.6818660497665405
9,11.405684471130371,9.675419807434082,1.730264663696289
10,7.860783576965332,6.098159313201904,1.7626241445541382
11,4.759387016296387,3.037386655807495,1.7220004796981812
12,3.1023223400115967,1.4299396276474,1.6723827123641968
13,2.787851333618164,1.1370042562484741,1.6508471965789795
14,3.2950708866119385,1.646519660949707,1.6485512256622314
15,4.083598613739014,2.4258992671966553,1.6576993465423584
16,4.7539143562316895,3.0933289527893066,1.6605854034423828
17,5.106889724731445,3.4571526050567627,1.6497371196746826
18,5.084514617919922,3.4592652320861816,1.6252495050430298
19,4.714210510253906,3.113586902618408,1.6006237268447876
20,4.091550827026367,2.50057315826416,1.5909779071807861
21,3.3693604469299316,1.7873066663742065,1.5820538997650146
22,2.758962631225586,1.183051347732544,1.5759111642837524
23,2.4516825675964355,0.8719703555107117,1.5797122716903687
24,2.5415642261505127,0.9477645754814148,1.5937995910644531
25,2.8856799602508545,1.281354308128357,1.6043256521224976
26,3.185807704925537,1.5793968439102173,1.6064109802246094
27,3.2574567794799805,1.6519043445587158,1.605552315711975
28,3.1086719036102295,1.4989303350448608,1.6097415685653687
29,2.8536157608032227,1.2343838214874268,1.6192318201065063
30,2.615401268005371,0.9900820851325989,1.625319242477417
31,2.4642856121063232,0.8459499478340149,1.6183357238769531
32,2.412492275238037,0.8167770504951477,1.5957152843475342
33,2.4311766624450684,0.8701664209365845,1.5610101222991943
34,2.4802157878875732,0.9528072476387024,1.5274085998535156
35,2.527090072631836,1.0190309286117554,1.5080592632293701
36,2.5495715141296387,1.043627142906189,1.5059444904327393
37,2.542147636413574,1.022774577140808,1.5193729400634766
38,2.506052255630493,0.9690223932266235,1.5370298624038696
39,2.4488322734832764,0.902735710144043,1.5460965633392334
40,2.385814905166626,0.8456124663352966,1.5402023792266846
41,2.3358685970306396,0.8133623003959656,1.5225063562393188
42,2.312704563140869,0.8108008503913879,1.5019036531448364
43,2.31756591796875,0.8308340311050415,1.486731767654419
44,2.3388144969940186,0.8581764101982117,1.4806381464004517
45,2.3592429161071777,0.8769806027412415,1.4822622537612915
46,2.365061044692993,0.8775362372398376,1.4875247478485107
47,2.3518292903900146,0.8596620559692383,1.4921672344207764
48,2.3242075443267822,0.8310225605964661,1.4931849241256714
49,2.293278217315674,0.8037481307983398,1.4895299673080444
50,2.2700424194335938,0.7879080176353455,1.482134461402893
51,2.259871006011963,0.7866251468658447,1.4732457399368286
52,2.261828899383545,0.7963879704475403,1.4654409885406494
53,2.270521640777588,0.809954822063446,1.4605668783187866
54,2.2789602279663086,0.8198553323745728,1.4591048955917358
55,2.281477451324463,0.8214300274848938,1.4600474834442139
56,2.2756311893463135,0.8142363429069519,1.4613947868347168
57,2.262763261795044,0.8016031384468079,1.4611600637435913
58,2.2471768856048584,0.7887977957725525,1.4583790302276611
59,2.2339937686920166,0.7805113196372986,1.4534823894500732
60,2.226189136505127,0.7782426476478577,1.447946548461914
61,2.2242274284362793,0.780907928943634,1.44331955909729
62,2.226053476333618,0.7856389284133911,1.440414547920227
63,2.228374719619751,0.7892867922782898,1.439087986946106
64,2.22802734375,0.7895479202270508,1.4384793043136597
65,2.2238364219665527,0.7862509489059448,1.4375855922698975
66,2.216820240020752,0.7810760736465454,1.435744047164917
67,2.209230422973633,0.7763465046882629,1.4328839778900146
68,2.2031829357147217,0.7737338542938232,1.4294490814208984
69,2.1996214389801025,0.7735394835472107,1.426081895828247
70,2.1980724334716797,0.774796724319458,1.4232757091522217
71,2.197139263153076,0.7759824991226196,1.421156883239746
72,2.1953399181365967,0.7758738398551941,1.4194660186767578
73,2.191856861114502,0.7741197943687439,1.4177371263504028
74,2.1869208812713623,0.7713393568992615,1.415581464767456
75,2.181631326675415,0.7687519788742065,1.4128793478012085
76,2.177151679992676,0.767335832118988,1.409815788269043
77,2.1737449169158936,0.7670181393623352,1.4067268371582031
78,2.1712327003479004,0.7673318386077881,1.4039007425308228
79,2.1691184043884277,0.7677080631256104,1.4014103412628174
80,2.16691517829895,0.7677655220031738,1.3991496562957764
81,2.163973569869995,0.7670842409133911,1.396889328956604
82,2.1602349281311035,0.7657852172851562,1.3944498300552368
83,2.1560704708099365,0.7642824053764343,1.391788125038147
84,2.152045965194702,0.7630511522293091,1.388994812965393
85,2.1485347747802734,0.762317955493927,1.3862168788909912
86,2.1455509662628174,0.7619932293891907,1.383557677268982
87,2.14278244972229,0.761772096157074,1.3810102939605713
88,2.1398422718048096,0.7613576054573059,1.3784847259521484
89,2.136366844177246,0.7604964375495911,1.3758704662322998
90,2.1327013969421387,0.7595949172973633,1.3731063604354858
91,2.128964900970459,0.7587548494338989,1.3702099323272705
92,2.1254029273986816,0.758149266242981,1.3672535419464111
93,2.121981382369995,0.7576567530632019,1.3643245697021484
94,2.118665933609009,0.7571954131126404,1.3614704608917236
95,2.115379810333252,0.756709635257721,1.3586702346801758
96,2.1121010780334473,0.7562286257743835,1.355872392654419
97,2.1086583137512207,0.7556285858154297,1.353029727935791
98,2.105078935623169,0.7549454569816589,1.3501335382461548
99,2.1014339923858643,0.7542275786399841,1.347206473350525
100,2.0978333950042725,0.7535495758056641,1.3442838191986084
101,2.09431529045105,0.7529288530349731,1.3413864374160767
102,2.090353488922119,0.751858651638031,1.338494896888733
103,2.08677339553833,0.7512155771255493,1.3355579376220703
104,2.083253860473633,0.7507068514823914,1.3325470685958862
105,2.0791749954223633,0.7495908737182617,1.3295841217041016
106,2.0752017498016357,0.7486383318901062,1.3265634775161743
107,2.071162223815918,0.7476188540458679,1.3235433101654053
108,2.066883087158203,0.7463452219963074,1.320537805557251
109,2.0629208087921143,0.7453409433364868,1.3175798654556274
110,2.0585808753967285,0.7439904808998108,1.3145904541015625
111,2.0544183254241943,0.742800235748291,1.3116180896759033
112,2.0496737957000732,0.7410497665405273,1.308624029159546
113,2.045262336730957,0.7397074103355408,1.305554986000061
114,2.0402636528015137,0.7376164793968201,1.3026472330093384
115,2.0353829860687256,0.7356968522071838,1.299686074256897
116,2.0304346084594727,0.7337010502815247,1.2967336177825928
117,2.0251736640930176,0.7314231991767883,1.293750524520874
118,2.020507574081421,0.7299337983131409,1.2905738353729248
119,2.0144734382629395,0.7266754508018494,1.2877979278564453
120,2.010444402694702,0.7255434393882751,1.2849009037017822
121,2.003526210784912,0.7215738296508789,1.2819525003433228
122,2.000175952911377,0.7214895486831665,1.2786865234375
123,1.9927654266357422,0.7168096899986267,1.2759557962417603
124,1.9887213706970215,0.7156502604484558,1.273071050643921
125,1.9826850891113281,0.7125930190086365,1.2700921297073364
126,1.9756436347961426,0.7085821628570557,1.267061471939087
127,1.9715371131896973,0.7075161337852478,1.2640209197998047
128,1.9638391733169556,0.7028511762619019,1.2609879970550537
129,1.9584710597991943,0.7005376219749451,1.257933497428894
130,1.952300786972046,0.6974310278892517,1.2548696994781494
131,1.9453179836273193,0.6934589743614197,1.2518590688705444
132,1.9401543140411377,0.6913003325462341,1.2488539218902588
